tweet_id,text,suggested_intent,intent,decision,notes
1247890,big fail! Changed a flight within 24 hours easily! Confirmed on app not updated now! What gives? Super disappointing! Ugh. Now $$$$$,tech_support,,,
716628,"Twin mom needed a break, sent for my sister. Error on ticket and you charged my card without permission. Please help...",tech_support,,,
775081,Honest feedback though - I appreciate the free upgrades to econ comfort I get with Platinum. However I specifically chose my seat in the...,seating_upgrade,,,
370650,what's going on with flight 4502?,other_non_actionable,,,
2077281,ridiculous! Cancel my flight. Just cancel. Get home HOURS AND HOURS later than what I paid for. No voucher for inconvenience. U suck.,flight_disruption,,,
2008350,When your flight gets in late & you run to your next flight (DL2604) but closes it 1 min before you get there. That's Diamond status?,loyalty_account,,,
812546,👀 Look at upping their game with flight info on gate indicators.,airport_gate,,,
1270647,check in at FCO Delta or FCO KLM for Delta service provided by KLM? Flight: DL 143,other_non_actionable,,,
327818,Could you explain why your passengers don't matter to you after they've paid for their flights? We're not even useful to you as bodies in your seats after you have our money.,seating_upgrade,,,
292957,The website clearly states this is a benefit ( and I informed Delta of this problem MONTHS AGO.,tech_support,,,
1099808,It's just frustrating when it shows on time up until the boarding time. I left the sky club early to board on time when they knew,loyalty_account,,,
257901,"Packing for Pringle Home for Children, Jamaica. So much to bring... not helped by not allowing us a few extra kilos luggage! #10days",baggage,,,
2431889,"Yes, please. Thank you *very* much.",other_non_actionable,,,
2443142,. SERIOUSLY. I have never had a round trip ticket that I've bought from you actually go smoothly without delays on at least one leg of the trip. #ATL to #CLT DELAYED. Why am I surprised?,flight_disruption,,,
759105,"when did Basic economy begin? Dan is correct, I've never heard of it before now.",booking_change,,,
1804731,Hey why does this say we are going to Shanghai?,other_non_actionable,,,
409435,on flight DL 885 from GRR to Atlanta.sitting in 1St. Pushing back. Terrible attitude. No drink was offered prior to take off.,other_non_actionable,,,
2067638,"flight last night from RDU > JFK was delayed, alternate flight to get me to Barcelona lost my luggage. What can be done?",flight_disruption,,,
2926852,Omg like that time the employee from LGA stole from me lolll 😐. Fuck you guys,other_non_actionable,,,
256781,Apparently it doesn't pay to be #GoldMedallion. I got to the gate before boarding was done and they wouldn't let me on standby.,booking_change,,,
300672,Replied,other_non_actionable,,,
2731624,Why bother with status - if Business is 3 and upgrade is nil?,seating_upgrade,,,
2389985,Thank you for the prompt resolution!,other_non_actionable,,,
769663,hello! I have a question. I will flight a domestic one and I carry one more suitcase. What can I do?,baggage,,,
2025273,your mobile app appears to have an issue with my current trip. Not showing first leg. iPhone version 4.6.1. Web works.,tech_support,,,
278098,do flight attendates not get taught courtesy? Love being run into multiple times by the same attendate while trying to sleep.,other_non_actionable,,,
1025726,"#delta and the worst thing is, our #seats are taken by #one person who is a #delta employer #10g and the seat next to her is open #10f. Totally #unacceptable!",seating_upgrade,,,
2227486,is it possible to just cancel one leg of a flight? not seeing it online,flight_disruption,,,
2137000,what does a garment bag count as if I carry it onto the plane? Can they store it for me in a closet during the flight?,baggage,,,
2653563,I'm a guy for sure but boarding the plane before the pilots arrived only to be told by the pilots that they were over their 9 hours was a puzzling move.,airport_gate,,,
2195451,Pumpkin bagels and pumpkin cream cheese at the Sky Club this morning. Pumpkin all the things!,loyalty_account,,,
174676,making it impossible to book their Black Friday deals. Price jumped at point of checkout. Currently on 5th customer service tech #frustrated,booking_change,,,
2371621,"I’d like the 5000 miles and $50 travel voucher we’ve been discussing since Monday... if you’d kindly add them, that’d be great! Thanks.",loyalty_account,,,
273450,How long will it take to transfer accounts?,other_non_actionable,,,
1954639,2/2 says should contact Delta US on our behalf to book seats. What do we do?? + Paid to book 1 💺& now reallocated?!,booking_change,,,
1769539,"Pleasure interacting with a very rude representative on the medallion line after waiting for half hour, who then hung up on me. #Wow",loyalty_account,,,
1309137,just boarded 1091 from SFO to ATL - no AC outlet in comfort plus? Really? Get rid of this fleet. #antiqueplanes,seating_upgrade,,,
2440285,New flight schedule feature on website is atrocious. No aircraft type info. More form than substance. Needs work !,tech_support,,,
1966252,The official Delta explanation makes 0 sense. Anyone who uses app is smart enough to decide if they want to check-in. Saves nothing.,tech_support,,,
2981698,please send a thanks to Medallion customer service. They helped in a big way today!,loyalty_account,,,
2968533,"Just curious, , as to how you think assigning small children seats away from their parents is OK? My 4 year old son had to sit by himself between two strangers. I asked the gate agent to help me and was told that I should be able to see him from my seat. WHAT?",seating_upgrade,,,
243408,2 for 2 flight delays to and from ATL and MONTGOMERY. 10 month old can't wait in an air port for 7 hours. Really expensive uber rides,other_non_actionable,,,
2443148,your lost & found system needs a serious update if you can’t check the status of a lost item. Hope I never lose something on your airline,loyalty_account,,,
1455480,"Swear I'm not an idiot. offering me two seats I could have reserved online myself, 1 in middle. Point is we HAD 2 in the 2 section!",seating_upgrade,,,
302674,can I use miles to upgrade my ticket/seat?,seating_upgrade,,,
1507460,Wow you’re going to ignore sexual assaults like that? Expect a lawsuit soon,other_non_actionable,,,
2960765,In the #MSY #SkyClub heading to #TPA ✈️ #Delta,loyalty_account,,,
150825,The new upgrades to the app are amazing. Love it!,tech_support,,,
336518,"Partner lounge info in app always poor. Can you send to get corrected? This is FCO. None in B or C, one in D, two in E.",loyalty_account,,,
1169016,"Thank u for 1) finding my credit card in the kiosk machine, and 2) for suggesting an earlier flight home yippee! The hug from the gate agent, Leatrice, though, was the best. Boston here I come 💙❤️",airport_gate,,,
1425464,It happened again AUS. Lodging a claim this time.,other_non_actionable,,,
2459434,"My pleasure. Also, my bag wasn't given a Sky Priority tag. Adds to the annoyance.",baggage,,,
1249515,Flight delayed 2.5 hours & orders pizza for the plane. The airline PR wars are definitely benefiting the consumer!,flight_disruption,,,
1932366,I do want to thank the awesome flight attendants for hooking Dev up with wings for me to take home to her. She’ll love it! 🤗🛩,other_non_actionable,,,
2511853,just one more thing - the website is telling me my account has been locked out when i try to retrieve my login info,tech_support,,,
1949736,one of the WORSE times flying on right now. i could brought my other bag on the flight the same way i came here. PISSED OFF! 😡,baggage,,,
1112251,rosemary b in the concourse d atl airport is our hero! Flights delayed with 2 kids under 3! She was so kinda d got us covered!!!!!!,flight_disruption,,,
2425041,I got a seat. But will avoid using delta for business travel in future. Very concerning when giving seminar at other end to be put into standby with no warning,booking_change,,,
2524296,"32.3 x 21.9 x 10.6 , will that be ok as long as it's <50 lbs. ?",other_non_actionable,,,
801128,"I have never missed a flight... until today. And as much as I love , I think there could’ve been a better solution to re-booking.",booking_change,,,
1715712,"... said you’d move the wheelchair person! I said I’ll take her seat, just refund my upgrade, you said not possible! #deltafail",booking_change,,,
1694073,"The weather is fine in LA & SF, but you are still managing to delay my trip over 2 hours on this route. I may need a new airline.",flight_disruption,,,
2572739,please fix accessing boarding pass option on you app. Tried to use it at the gate traveling from Boston to Austin and it wasn't working. #businesstravelconvenience #noprintingtickets,tech_support,,,
2215081,Flying with a 10 yr old on her first flight & we get placed on the very last row. Standby passengers placed in better seats. Terrible service is becoming the norm unfortunately if you don’t buy premium seats.,booking_change,,,
2872919,My boarding pass isn’t showing my pre-check for my flight tomorrow. Can you help me out?,airport_gate,,,
2673995,Thanks we were able to run and make our connection to find out my 7 year old is with two stranger my 9 year old is with two strangers,other_non_actionable,,,
770120,"Hey , thanks a million to your kind gate agents who invited me onto an earlier flight out of Buffalo!",airport_gate,,,
1241642,Why don't you let people know when you arbitrarily change their seat? Just checked my booking and saw it's been changed. Grrrr.,booking_change,,,
913056,I'm on my way to LGA and want guaranteed stand by on earlier flight DL 2807. Delta medallion phone line has 2hour wait. Please help,loyalty_account,,,
2793455,"Me too! Thank you, .",other_non_actionable,,,
2112171,I printed the boarding pass. is that the pass through security?,airport_gate,,,
739436,Hey you're kind of messing up my honeymoon right now. We just want our luggage please,baggage,,,
2373652,three alis isn't letting me look up my reservation to cancel it. can you assist me with this please,flight_disruption,,,
1941381,my fiancé & I are traveling to NY in Dec with yourselves. We're going out to get married 😄 can we take dress & a suit as carry on?,baggage,,,
2715291,So glad I paid $2000 checking bags so can break every single one of them. Why I stick with you I’ll never know.,baggage,,,
1026340,Every rep I spoke with assured me the bag would be flagged in ATL and be delivered to my home,baggage,,,
1756639,Hey FYI: upgrade fro exit row to C+ middle seat is NOT an upgrade. Would have appreciated a choice in the matter.,seating_upgrade,,,
122166,making people pay for beer in the business class lounge? Not cool.,loyalty_account,,,
2841259,Revising earlier tweet re new boarding process. I LOVE for 650k mi but please train better for changes that bring #confusion,airport_gate,,,
2898355,I paid to get an exit row but the plane was changed and I was moved to a normal seat. I get it but the attitude of gate agent was horrible and she said I don't get a refund?!?,booking_change,,,
460212,"Think you mistook me. I am tired of people complaining about the AMEX spend & hijacking posts. I'm at 91 segments this year & will hit Platinum this year. Wish the Skyclub wasn't so high! Don't like some choices Bastian has made. But if I really was upset, I'D switch carriers.",loyalty_account,,,
331461,#Atlanta #Thankful,other_non_actionable,,,
1158722,"And then... it gets better, the seat I did have was shown as an exit row, however it wasn't, then exit row was only on the other side",seating_upgrade,,,
316359,your LAX seating for gates 35-39 is atrocious. Not nearly enough seating for so many gates (+ people who use a seat for luggage),baggage,,,
932052,any update on DL6246 from RDU to DCA. App and sign still say 6:06 boarding / 6:46 departure.,tech_support,,,
691352,Just found out work booked me first class tickets for tomorrow's flight! Now I'm super excited!,seating_upgrade,,,
411535,Thanks but I'm flying with unless you can hook me up😉,other_non_actionable,,,
960829,"for the second time in 6 weeks, back from overseas travel and no luggage. If SkyTeam can't give good service why use AF and KLM?",baggage,,,
1035841,Good morning. I’m curious what my options are for missing my flight caused by an error on the FlyDelta app. I tried customer service but no response. Thank you,tech_support,,,
684101,"#tmw your #servicedog makes friendly with boarding staff, and you get #priorityboarding. #travelwin #workingdog #shesworkingit",airport_gate,,,
295430,Más en el siglo en el que estamos y en una compañía que trabaja con el mundo entero. El trato debe ser el correcto para todos sus clientes,other_non_actionable,,,
2357400,over 1 hour flight delay. Captain even said there’s nothing wrong weather wise in Newark or here in Detroit. Whats going on?? Very unhappy Gold Medallion member.,flight_disruption,,,
361797,I accidentally canceled my flight!!! I need help!,flight_disruption,,,
1821964,main cabin is fine.. doesn't have to be a Delta Comfort seat,seating_upgrade,,,
1874368,the plane my bag was supposedly on is now in Amsterdam. I have yet to be contacted by anyone regarding this issue.,baggage,,,
79582,"when three flights are departing at the same time the gate agents need to state which flight is boarding, not just call out the zone. Made for a much more confusing boarding process. #RSW",airport_gate,,,
