tweet_id,raw,clean,created_at,in_response_to
424429,@Delta hello I just checkin for my flight. But I couldn't choose my seat. Can you help me please ?,hello I just checkin for my flight. But I couldn't choose my seat. Can you help me please ?,Fri Oct 13 21:14:46 +0000 2017,
1049046,@Delta Raven C and Phen T at Madison WI airport Gate 7 most patient and helpful folks in all of air travel!,Raven C and Phen T at Madison WI airport Gate 7 most patient and helpful folks in all of air travel!,Thu Oct 12 23:03:35 +0000 2017,
597378,@Delta You should contact me to solve this issue. The behavior of delta staff both in the airport and on the phone has been appalling and unlike anything I’ve ever experienced flying @delta,You should contact me to solve this issue. The behavior of delta staff both in the airport and on the phone has been appalling and unlike anything I’ve ever experienced flying,Sun Dec 03 20:00:31 +0000 2017,597377
1021737,@DELTA I was charged for a hotel night I did not use,I was charged for a hotel night I did not use,Mon Jan 30 12:15:34 +0000 2017,
1283262,I dig the new @delta safety video with the little girl. It’s cute. I don’t know why I’m so into delta marketing. Lol,I dig the new safety video with the little girl. It’s cute. I don’t know why I’m so into delta marketing. Lol,Thu Oct 26 17:44:29 +0000 2017,
1327175,"Come on @AmericanAir, I give you a shot (not by my own accord) and 2 out of 4 flights delayed by more than 2 hours each. Save me @Delta!","Come on , I give you a shot (not by my own accord) and 2 out of 4 flights delayed by more than 2 hours each. Save me !",Fri Oct 27 11:46:25 +0000 2017,
2081112,@Delta has screwed me over today. Delayed my flight from 12:53 to 3:30 then took off early!  DO NOT FLY DELTA!!!!!!,has screwed me over today. Delayed my flight from 12:53 to 3:30 then took off early! DO NOT FLY DELTA!!!!!!,Mon Oct 09 21:22:53 +0000 2017,
376342,@Delta This is how I always handle my flight out every time. It is only my return flight you block me from using the app. Makes no sense.,This is how I always handle my flight out every time. It is only my return flight you block me from using the app. Makes no sense.,Wed Oct 25 00:55:10 +0000 2017,376341
262304,"@Delta ruined my vacation with 2 plane issues, 5 hr wait for a cancelled flight. Thanks @AmericanAir for getting me where I need to be","ruined my vacation with 2 plane issues, 5 hr wait for a cancelled flight. Thanks for getting me where I need to be",Thu Oct 05 21:38:11 +0000 2017,
1977212,crying in class because the @Delta lady changed my flight so I can see my best friend @74166 before she leaves. THANK YOU DELTA https://t.co/rkOdCz0jLE,crying in class because the lady changed my flight so I can see my best friend before she leaves. THANK YOU DELTA,Wed Oct 18 18:02:48 +0000 2017,
2143818,"@Delta I was almost satisfied with the service I got, after spending literally hours on the phone waiting to resolve my cancellation issue. Unfortunately, a day later I was emailed the opposite to what I was told and not refunded anything. : (((","I was almost satisfied with the service I got, after spending literally hours on the phone waiting to resolve my cancellation issue. Unfortunately, a day later I was emailed the opposite to what I was told and not refunded anything. : (((",Wed Nov 08 23:17:06 +0000 2017,
1475572,@Delta Is there anything else I can do to be helpful in finding it??,Is there anything else I can do to be helpful in finding it??,Mon Nov 06 16:42:21 +0000 2017,1475571
44709,"@Delta - I’m trying to give you money 💰 but can’t get logged into my sky miles account. Changed password, followed prompts, still no luck.","- I’m trying to give you money 💰 but can’t get logged into my sky miles account. Changed password, followed prompts, still no luck.",Mon Oct 30 13:49:42 +0000 2017,
748861,"Thank you @Delta for getting us home safely from #PELS17, so we can continue to improve lives &amp; communities. DL1726 10/10/17 DCA to LAX","Thank you for getting us home safely from #PELS17, so we can continue to improve lives & communities. DL1726 10/10/17 DCA to LAX",Wed Oct 11 16:49:52 +0000 2017,
1850078,"@Delta Okay Delta, it's been over 45 days &amp; still no response to my complaint. Are you going to make this right? Bet you thought I'd forget by now.","Okay Delta, it's been over 45 days & still no response to my complaint. Are you going to make this right? Bet you thought I'd forget by now.",Wed Oct 18 19:52:56 +0000 2017,1850077
1207314,@Delta  I wanted to check if I Am allowed to carryon a pulley and a backpack.,I wanted to check if I Am allowed to carryon a pulley and a backpack.,Wed Oct 25 09:35:29 +0000 2017,
1174903,"@Delta What size restrictions &amp; fees apply to boxes checked as baggage on a domestic flight? E.g., 50x18x18 inches, 20 lbs. Normal bag rate?","What size restrictions & fees apply to boxes checked as baggage on a domestic flight? E.g., 50x18x18 inches, 20 lbs. Normal bag rate?",Tue Oct 24 20:34:10 +0000 2017,
2224486,"@Delta Correct , but it’s only open for business class , never had that issue anywhere else","Correct , but it’s only open for business class , never had that issue anywhere else",Fri Nov 10 22:44:28 +0000 2017,2224485
260920,Had a smooth flight on @Delta today Atl/Fll #iflydelta,Had a smooth flight on today Atl/Fll #iflydelta,Thu Oct 05 21:15:00 +0000 2017,
1580628,@Delta BF also has a Skymiles account and he couldn’t even sign in when trying to check in. PLEASE get us seats.,BF also has a Skymiles account and he couldn’t even sign in when trying to check in. PLEASE get us seats.,Sat Nov 04 18:44:43 +0000 2017,1580629
1276510,@Delta my travel day has been made thanks to Beth and the Detroit vip team. Thanks so that pleasant surprise,my travel day has been made thanks to Beth and the Detroit vip team. Thanks so that pleasant surprise,Thu Oct 26 15:39:58 +0000 2017,
2566128,@Delta This was the OKC Thunder flight that had the big dent in the nose of the plane.,This was the OKC Thunder flight that had the big dent in the nose of the plane.,Thu Nov 16 19:12:11 +0000 2017,2566127
1344748,@Delta You didn’t notify me about my delay. Now I can’t make my connection. Had to get another flight. Another flight I won’t make...,You didn’t notify me about my delay. Now I can’t make my connection. Had to get another flight. Another flight I won’t make...,Fri Oct 27 15:23:57 +0000 2017,
789329,@Delta please add service to DCA from FLL. Trucking to MIA for American. Ugh. #needDCA,please add service to DCA from FLL. Trucking to MIA for American. Ugh. #needDCA,Thu Oct 12 11:32:05 +0000 2017,
1066999,@Delta RE: DL 5444 still no plane or gate agent at D11 in ATL. Are you sure flight hasn’t been canceled??,RE: DL 5444 still no plane or gate agent at D11 in ATL. Are you sure flight hasn’t been canceled??,Mon Oct 23 14:49:00 +0000 2017,
2848439,HUGE props to AOS @Delta for tracking down my SkyMiles number. Thank you so much. https://t.co/etDke3gmtR,HUGE props to AOS for tracking down my SkyMiles number. Thank you so much.,Mon Nov 27 18:33:15 +0000 2017,
1627424,@Delta I like to call out good customer service. Gate agent for flight 2509 (gate C4) was very kind to me. Thanks. #makeflyinggreatagain,I like to call out good customer service. Gate agent for flight 2509 (gate C4) was very kind to me. Thanks. #makeflyinggreatagain,Sun Nov 05 14:39:47 +0000 2017,
1430154,@Delta Oh and I have a jwd cert to the agent to apparently made this change for me and that agents promises have been walked back on,Oh and I have a jwd cert to the agent to apparently made this change for me and that agents promises have been walked back on,Mon Oct 16 17:46:55 +0000 2017,1430158
993800,"@Delta No, it was such a short flight we didn’t want to bother them - they had a lot to do in a short time","No, it was such a short flight we didn’t want to bother them - they had a lot to do in a short time",Sat Nov 25 17:31:16 +0000 2017,993799
1555677,@Delta got to MIA airport early to check my bags and you're telling me I have to wait while you let other people check their bags.,got to MIA airport early to check my bags and you're telling me I have to wait while you let other people check their bags.,Sat Nov 04 12:10:43 +0000 2017,
1303841,@Delta Only praise goes to you anonymous HEC. I’m not done with @Delta yet! But your awesome.,Only praise goes to you anonymous HEC. I’m not done with yet! But your awesome.,Fri Oct 27 01:24:27 +0000 2017,1303840
2456537,"@Delta I sent a DM, still waiting on a reply. We’re less than pleased with what we have been told thus far. Confirmation # GW5WCJ","I sent a DM, still waiting on a reply. We’re less than pleased with what we have been told thus far. Confirmation # GW5WCJ",Wed Nov 15 05:06:41 +0000 2017,2456536
458102,UPDATED: @Delta adds visits to @116705 production airfield and LAX to #DL747Farewell tour. #avgeek https://t.co/xAb1oCBcu0 https://t.co/C5xkk12m6u,UPDATED: adds visits to production airfield and LAX to #DL747Farewell tour. #avgeek,Thu Nov 30 21:33:46 +0000 2017,
837941,"@Delta team in LAX is horrid tonight. Hour wait or more in security, flights behind &amp; terrible attitudes from @120943 crew.","team in LAX is horrid tonight. Hour wait or more in security, flights behind & terrible attitudes from crew.",Fri Oct 13 05:34:32 +0000 2017,
2188560,"@Delta It was 10 days ago, and I don't think I have my confirmation number. We tried to fly from Rochester, MN to Atlanta and then to Charlottesville, VA. Coming back, we tried to fly from Charlottesville to Chicago to Rochester. I used Travelocity, which I will never use again.","It was 10 days ago, and I don't think I have my confirmation number. We tried to fly from Rochester, MN to Atlanta and then to Charlottesville, VA. Coming back, we tried to fly from Charlottesville to Chicago to Rochester. I used Travelocity, which I will never use again.",Thu Nov 09 19:36:00 +0000 2017,2188566
1484141,@Delta I need your moms address so I can book the flight.,I need your moms address so I can book the flight.,Thu Nov 30 20:28:44 +0000 2017,1484140
904417,@Delta @824 Any update on flight 1957? They have t given us a reason for the delay,Any update on flight 1957? They have t given us a reason for the delay,Fri Nov 10 15:57:48 +0000 2017,
2899885,@Delta That feeling when you have only a 40 minute layover at DTW only to find out you land at gate 46 and leave from gate 45. https://t.co/Dq5q8rF2MP,That feeling when you have only a 40 minute layover at DTW only to find out you land at gate 46 and leave from gate 45.,Tue Nov 28 16:46:57 +0000 2017,
663293,@Delta Will definitely choose your competition next time I fly.,Will definitely choose your competition next time I fly.,Sat Nov 25 07:27:27 +0000 2017,663292
301160,@Delta How about some chocolate covered crispy bacon next time @181746 flies with you?,How about some chocolate covered crispy bacon next time flies with you?,Fri Oct 06 22:32:28 +0000 2017,301159
219634,@Delta ... and nobody batted an eye. An apology without a change in behaviour or action isn't worth much. Good morning.,... and nobody batted an eye. An apology without a change in behaviour or action isn't worth much. Good morning.,Thu Oct 05 04:11:18 +0000 2017,219631
837945,@Delta Still doesn't help us with figuring out our plans. Now we are in DTW. Are you gonna pay for our hotel 2nite.,Still doesn't help us with figuring out our plans. Now we are in DTW. Are you gonna pay for our hotel 2nite.,Fri Oct 13 05:24:43 +0000 2017,831858
569692,@delta I want my $100 back.  Got worse seat assignment than family who didn’t pay extra.  They have SKY priority seating and are together. My husband and I who paid for seating assignment are not together and zone 3.  Pretty crappy paid service https://t.co/tLl202TJll,I want my $100 back. Got worse seat assignment than family who didn’t pay extra. They have SKY priority seating and are together. My husband and I who paid for seating assignment are not together and zone 3. Pretty crappy paid service,Sat Dec 02 19:55:12 +0000 2017,
2039183,@Delta Not sure what you are actually offering me here!,Not sure what you are actually offering me here!,Sun Nov 26 11:44:32 +0000 2017,2039182
724024,@Delta And to change my time I had to give up my rights if anything is missing or damaged.  Not happy with Delta at all.,And to change my time I had to give up my rights if anything is missing or damaged. Not happy with Delta at all.,Wed Oct 11 03:29:47 +0000 2017,
2835109,"Ok, so why did the @Delta rep in Minneapolis cheerily greet every white person in front of me, but then look at me and say my name like I did something to him? #RhetoricalQuestion","Ok, so why did the rep in Minneapolis cheerily greet every white person in front of me, but then look at me and say my name like I did something to him? #RhetoricalQuestion",Mon Nov 27 14:29:46 +0000 2017,
2492781,@Delta Now you've switched aircraft and now I'm reassigned from bulkhead aisle to bulkhead middle....awesome /s...,Now you've switched aircraft and now I'm reassigned from bulkhead aisle to bulkhead middle....awesome /s...,Thu Nov 16 00:15:48 +0000 2017,2492780
2511872,.@Delta hello! How do I remove myself from an upgrade list? I’m afraid I’ll get a middle seat. 😬 Thanks!,. hello! How do I remove myself from an upgrade list? I’m afraid I’ll get a middle seat. 😬 Thanks!,Mon Oct 30 05:04:33 +0000 2017,
2924116,Damn @Delta this plane is late again. You guys just know how to ruin people’s night. #deltasucks,Damn this plane is late again. You guys just know how to ruin people’s night. #deltasucks,Wed Nov 29 02:26:47 +0000 2017,
2893807,@AskAmex The link through the Delta website to apply for the SkyMiles card has the skymiles member number field locked so the application cannot be finished.  Tried multiple computers.  Pls fix.,The link through the Delta website to apply for the SkyMiles card has the skymiles member number field locked so the application cannot be finished. Tried multiple computers. Pls fix.,Tue Nov 28 13:18:03 +0000 2017,
475264,@Delta @160942 Take of our girl @160942 ... she's gonna be slayin' on @2554,Take of our girl ... she's gonna be slayin' on,Fri Dec 01 11:17:31 +0000 2017,475262
1129935,@Delta Taken a couple of minutes ago...announcement made asking the attendant to come to the gate. Now pushed to 8:10. https://t.co/6TDoZ6EsCR,Taken a couple of minutes ago...announcement made asking the attendant to come to the gate. Now pushed to 8:10.,Tue Oct 24 11:48:50 +0000 2017,1129932
2635142,"Another flight from ATL to RST, another delay.  It's very frustrating @Delta.","Another flight from ATL to RST, another delay. It's very frustrating .",Fri Nov 17 18:20:37 +0000 2017,
342848,.@20477 @UPSHelp @118706 @Delta @AmericanAir @JetBlue I am in Milwaukee w/ ~350lbs of supplies in boxes. need help getting them 2 PR,. I am in Milwaukee w/ ~350lbs of supplies in boxes. need help getting them 2 PR,Tue Oct 17 17:48:22 +0000 2017,
551408,"@248495 @AmericanAir I took an AA flight in 2013 and was like ""nope never again."" Loyal Delta traveller now.","I took an AA flight in 2013 and was like ""nope never again."" Loyal Delta traveller now.",Sat Dec 02 19:12:21 +0000 2017,551409
