tweet_id,raw,clean,created_at,in_response_to
610,@Delta DM sent,DM sent,Tue Oct 31 22:11:33 +0000 2017,609
611,@DELTA i booked my flight using delta amex card. Checking in now &amp; was being charged for baggage,i booked my flight using delta amex card. Checking in now & was being charged for baggage,Sat Aug 06 01:31:50 +0000 2016,
791,@Delta I checked daily and flight 1403 was never offered as an option as I most certainly would have made the adjust on my trip.,I checked daily and flight 1403 was never offered as an option as I most certainly would have made the adjust on my trip.,Tue Oct 31 22:33:11 +0000 2017,790
792,"@Delta why wasn't earlier flight offered when I tried to rebook, not cool at all. Just happened to look at moniter after deplaning.","why wasn't earlier flight offered when I tried to rebook, not cool at all. Just happened to look at moniter after deplaning.",Tue Oct 31 21:33:48 +0000 2017,
795,@Delta Via DM?,Via DM?,Tue Oct 31 22:28:50 +0000 2017,794
798,@Delta Just DM'd you with a screenshot and explanation.  😊,Just DM'd you with a screenshot and explanation. 😊,Wed Nov 01 15:10:21 +0000 2017,797
796,@Delta It seems this technical issue still hasn't Ben fixed.   Can you look into it again?  🙆🏼‍♂️,It seems this technical issue still hasn't Ben fixed. Can you look into it again? 🙆🏼‍♂️,Tue Oct 31 21:18:55 +0000 2017,799
801,"@Delta The ""change flight"" search option on your website is broken once again.  😑","The ""change flight"" search option on your website is broken once again. 😑",Sun Oct 29 15:59:35 +0000 2017,
803,.@delta this has been my inflight studio experience today. Nothing works except Twitter #toobadforyouandme https://t.co/VLo4ufL73y,. this has been my inflight studio experience today. Nothing works except Twitter #toobadforyouandme,Tue Oct 31 21:33:27 +0000 2017,
805,@Delta Is that not what I’ve done already?,Is that not what I’ve done already?,Tue Oct 31 22:39:33 +0000 2017,804
806,@Delta Can you reply on the DM thread?,Can you reply on the DM thread?,Tue Oct 31 22:39:44 +0000 2017,804
807,@Delta I did this some time ago now but haven’t heard from you...,I did this some time ago now but haven’t heard from you...,Tue Oct 31 20:52:02 +0000 2017,809
810,"@Delta Actually, I just looked again and they disagree and say it's on you. Any idea what I should do? https://t.co/twIogKd3Kx","Actually, I just looked again and they disagree and say it's on you. Any idea what I should do?",Tue Oct 31 19:18:45 +0000 2017,811
811,@Delta Hi - and thanks. Think I just figured this out. Would it be you’re not running the MEX-MID flight so I need to check in via AeroMexico?,Hi - and thanks. Think I just figured this out. Would it be you’re not running the MEX-MID flight so I need to check in via AeroMexico?,Tue Oct 31 18:44:51 +0000 2017,813
814,"@Delta I'm flying JFK-MEX-MID tomorrow and you say I'm booked in, but it looks like it's just the first leg. Can you check, please?","I'm flying JFK-MEX-MID tomorrow and you say I'm booked in, but it looks like it's just the first leg. Can you check, please?",Tue Oct 31 16:37:26 +0000 2017,
816,@Delta #Again #nothing #bs #no #answers,#Again #nothing #bs #no #answers,Tue Oct 31 22:28:24 +0000 2017,815
819,@Delta Same again! #equipment #change #no #guaranteed #seats #apologies I’ll DM you if you can give me a #real #answer and no #standard #bs #answers,Same again! #equipment #change #no #guaranteed #seats #apologies I’ll DM you if you can give me a #real #answer and no #standard #bs #answers,Tue Oct 31 23:08:42 +0000 2017,818
821,"@Delta OK it was not a full flight, #equipment change had nothing to do with comfort class, no #disabilities (and a handling agent telling #customer #care would take care of us) So please non of these as an excuse! I’ll retwitter your reply! Thanks","OK it was not a full flight, #equipment change had nothing to do with comfort class, no #disabilities (and a handling agent telling #customer #care would take care of us) So please non of these as an excuse! I’ll retwitter your reply! Thanks",Wed Nov 01 04:26:57 +0000 2017,820
836,"@Delta Obviously you didn't read what already was said before, you do give exactly the same bs answers. I know there is no guarantee but I like to know why they moved us. I know, because a #Delta employee was sitting in my seat and you can't say that 😡😡😡","Obviously you didn't read what already was said before, you do give exactly the same bs answers. I know there is no guarantee but I like to know why they moved us. I know, because a #Delta employee was sitting in my seat and you can't say that 😡😡😡",Wed Nov 01 05:40:54 +0000 2017,830
840,@Delta Is this a #computer #answering my tweets? 😂😂😂 #unbelievable!!!!! same #stupid #answers!!,Is this a #computer #answering my tweets? 😂😂😂 #unbelievable!!!!! same #stupid #answers!!,Wed Nov 01 05:48:19 +0000 2017,837
844,@Delta Even #worse 😜,Even #worse 😜,Wed Nov 01 05:50:43 +0000 2017,842
847,@Delta 0062395415777,0062395415777,Wed Nov 01 04:47:52 +0000 2017,832
817,@delta #delta moves you to #dm the moment you have a #complaint with no results. Just got some #bs #answers but no real reason why they changed our #seating!,#delta moves you to #dm the moment you have a #complaint with no results. Just got some #bs #answers but no real reason why they changed our #seating!,Tue Oct 31 21:22:28 +0000 2017,
1838,@Delta I'm On Flight DL4047 to CLE. There is a man in 3A who is moaning in pain and sweating. He's not well.,I'm On Flight DL4047 to CLE. There is a man in 3A who is moaning in pain and sweating. He's not well.,Tue Oct 31 22:11:11 +0000 2017,
1840,Dear cute flight attendant @delta. I’m board...just sayin’,Dear cute flight attendant . I’m board...just sayin’,Tue Oct 31 22:13:14 +0000 2017,
1842,@Delta Yes. And isn’t diverted?!,Yes. And isn’t diverted?!,Tue Oct 31 22:35:15 +0000 2017,1843
1844,@Delta hi. Any news why DL1262 diverted to AUS and DL1738 to SMF? Thanks,hi. Any news why DL1262 diverted to AUS and DL1738 to SMF? Thanks,Tue Oct 31 21:44:59 +0000 2017,
1848,@Delta I sent you guys a DM about a story! Thanks in advance for any help you can provide. 🎃,I sent you guys a DM about a story! Thanks in advance for any help you can provide. 🎃,Tue Oct 31 21:44:12 +0000 2017,
1850,@Delta Bummer! I promised them some info and in my hurry to get to my next flight forgot to leave my business card 😩,Bummer! I promised them some info and in my hurry to get to my next flight forgot to leave my business card 😩,Tue Oct 31 22:57:46 +0000 2017,1849
1851,"@Delta I was on flight 2222 LAX to ATL at 645am I'm trying to forward a message to one of the FAs, are you able to assist?","I was on flight 2222 LAX to ATL at 645am I'm trying to forward a message to one of the FAs, are you able to assist?",Tue Oct 31 21:44:18 +0000 2017,
1854,"@Delta I love the sky lounge access. Thank you. Imagine if they had a ""dark or more dim room"" to relax. That's next level!!","I love the sky lounge access. Thank you. Imagine if they had a ""dark or more dim room"" to relax. That's next level!!",Tue Oct 31 21:52:53 +0000 2017,
1855,@Delta but it now looks like a mistake in @116125 and isn’t DL‘s fault,but it now looks like a mistake in and isn’t DL‘s fault,Tue Oct 31 22:33:53 +0000 2017,1846
1857,@Delta Flights are what they are already. Just frustrated. I got this Amex but no real perks. Wondering when the perks actually happen.,Flights are what they are already. Just frustrated. I got this Amex but no real perks. Wondering when the perks actually happen.,Wed Nov 01 02:03:22 +0000 2017,1856
1860,@Delta Can I get the 35$ refunded for the seat cost I never got?,Can I get the 35$ refunded for the seat cost I never got?,Wed Nov 01 02:09:00 +0000 2017,1859
1858,@Delta just don’t know what I gotta do to not be treated like crap. Apparently spending thousands on your Amex isn’t cutting it.,just don’t know what I gotta do to not be treated like crap. Apparently spending thousands on your Amex isn’t cutting it.,Tue Oct 31 21:46:37 +0000 2017,
1863,@Delta booked a code share Korean Air flight on https://t.co/xFTVohudJC; where can I find my confirmation # or ticket # for the KE portion?,booked a code share Korean Air flight on where can I find my confirmation # or ticket # for the KE portion?,Tue Oct 31 21:42:21 +0000 2017,
2791,@Delta Just giving credit where it's due.  Thank you,Just giving credit where it's due. Thank you,Tue Oct 31 22:53:47 +0000 2017,2792
2793,"Dear @Delta, thank you for providing excellent service &amp; employees who truly care about the customer experience.  You stand out in the crowd","Dear , thank you for providing excellent service & employees who truly care about the customer experience. You stand out in the crowd",Tue Oct 31 22:48:35 +0000 2017,
2796,Thanks to the @Delta gate agent at D7 at @116373 for being so kind. This airport is great! Get why it’s voted tops so often.,Thanks to the gate agent at D7 at for being so kind. This airport is great! Get why it’s voted tops so often.,Tue Oct 31 22:49:19 +0000 2017,
3190,@Delta what are the under seat dimensions?,what are the under seat dimensions?,Sun Nov 26 00:24:44 +0000 2017,3191
3192,@Delta Would this be classified as a personal item? Your website does not have dimensions for personal items. https://t.co/EToe4qVuHb,Would this be classified as a personal item? Your website does not have dimensions for personal items.,Sat Nov 25 23:57:29 +0000 2017,
3194,After today I don’t want to fly with @116450 looks like I’m going back to @delta,After today I don’t want to fly with looks like I’m going back to,Sun Nov 26 00:20:27 +0000 2017,
3196,@delta extremely disappointed in your service at SFO. Gate agents are terribly and not helpful at all. #goldmember,extremely disappointed in your service at SFO. Gate agents are terribly and not helpful at all. #goldmember,Sun Nov 26 00:18:10 +0000 2017,
3199,@Delta Didn’t use any bad language,Didn’t use any bad language,Sun Nov 26 00:36:16 +0000 2017,3197
3201,@Delta “You don’t fly with us enough for us to care or offer you something so fingers crossed it’s too big of a hassle for you to change to another frequent flyer program and you stay with us always”?,“You don’t fly with us enough for us to care or offer you something so fingers crossed it’s too big of a hassle for you to change to another frequent flyer program and you stay with us always”?,Sun Nov 26 00:20:43 +0000 2017,3202
3203,@116453 @116454 @116455 @Delta Miles/points. But useless if the airline isn’t actually helpful and on time!!!!!!,Miles/points. But useless if the airline isn’t actually helpful and on time!!!!!!,Sun Nov 26 00:10:09 +0000 2017,3205
3205,"@116452 @116454 @116455 @Delta Wait, y'all actually stick to one airline? I just go with whatever airline has the most convenient flight times and whatnot.","Wait, y'all actually stick to one airline? I just go with whatever airline has the most convenient flight times and whatnot.",Sun Nov 26 00:07:33 +0000 2017,3206
3206,@116454 @116455 @Delta I literally always fly delta for work BY CHOICE!! The one time I fly @Delta for personal travel I end up with this mediocrity.,I literally always fly delta for work BY CHOICE!! The one time I fly for personal travel I end up with this mediocrity.,Sun Nov 26 00:03:50 +0000 2017,3207
3207,@116455 @116452 @Delta Always used delta for years for business. Flew southwest last week for the first time was great and free checked bags. But idk still team delta but getting weak,Always used delta for years for business. Flew southwest last week for the first time was great and free checked bags. But idk still team delta but getting weak,Sun Nov 26 00:02:45 +0000 2017,3208
3208,@116452 @Delta Figure it out @Delta,Figure it out,Sat Nov 25 23:34:26 +0000 2017,3210
3210,". @Delta on the way to Wisconsin I sat on the runway for an hour and a half and was delayed in the air for 45 mins before landing. Now my return flight is delayed 2 hours without explanation, only alternate flights are tomorrow... smh",". on the way to Wisconsin I sat on the runway for an hour and a half and was delayed in the air for 45 mins before landing. Now my return flight is delayed 2 hours without explanation, only alternate flights are tomorrow... smh",Sat Nov 25 23:31:51 +0000 2017,
3215,@Delta Thanks. I’m on an international flight so I’ve got time.  🙂,Thanks. I’m on an international flight so I’ve got time. 🙂,Sun Nov 26 00:36:45 +0000 2017,3214
3218,@Delta Thinking about it.  That’s just 1 way right?,Thinking about it. That’s just 1 way right?,Sun Nov 26 00:39:10 +0000 2017,3217
3220,@Delta Ok.  Let me think about it.  How long do I have to decide?,Ok. Let me think about it. How long do I have to decide?,Sun Nov 26 00:43:08 +0000 2017,3219
3222,@Delta Ok thanks.,Ok thanks.,Sun Nov 26 00:45:35 +0000 2017,3221
3216,"@Delta for my trip to CDG in Dec, what would it cost in miles to waitlist for Delta 1?  I’m burned out on these long flights.  😕","for my trip to CDG in Dec, what would it cost in miles to waitlist for Delta 1? I’m burned out on these long flights. 😕",Sat Nov 25 23:20:49 +0000 2017,
3226,@Delta Thx for reply. Understand the concern for safety. Otherwise great flight appreciate getting us home safe during very busy holiday weekend.,Thx for reply. Understand the concern for safety. Otherwise great flight appreciate getting us home safe during very busy holiday weekend.,Sun Nov 26 00:27:05 +0000 2017,3225
3227,@Delta why would pilot land 55 mins early no gate avail? DL 088 on ground LAX we are stuck in seats plz let us use the lav 😳🚽#legscrossed,why would pilot land 55 mins early no gate avail? DL 088 on ground LAX we are stuck in seats plz let us use the lav 😳🚽#legscrossed,Sun Nov 26 00:17:19 +0000 2017,
3230,@Delta My pleasure ❤🌷,My pleasure ❤🌷,Sun Nov 26 00:12:16 +0000 2017,3231
3232,@116459 @75659 @75660 @Delta Thanks a lot... Great start of Great event,Thanks a lot... Great start of Great event,Sat Nov 25 22:05:22 +0000 2017,3233
3235,@Delta Just did,Just did,Sun Nov 26 00:16:33 +0000 2017,3234
3236,@Delta I checked in for my flight that’s  tomorrow and I was moved seats. I was originally on the aisle. I’m hoping you can help?,I checked in for my flight that’s tomorrow and I was moved seats. I was originally on the aisle. I’m hoping you can help?,Sat Nov 25 23:58:15 +0000 2017,
